Date,S&P500,AAL,ALGT,ALk,DAL,HA,LUV,BCS,CS,DB,GS,MS,WFC,BHC,JNJ,MRK,PFE,RHHBY,UNH,AAPL,AMZN,GOOG,IBM,MSFT,FB
09-11-2015,0.142428245,0.720412731,0.804553626,0.700965046,0.715032993,0.52312755,0.530410137,0.865497076,0.912389887,0.861495845,0.446427225,0.360558849,0.758986193,0.442437149,0.123034943,0.130034565,0.290868207,0.337897294,0.023453158,0.067722581,0.056870572,0.101701924,0.465014923,0.051058594,0.072971452
10-11-2015,0.144220667,0.71717583,0.795149407,0.717396997,0.707527831,0.538997494,0.532531777,0.847953216,0.897874593,0.842105263,0.454013404,0.364051622,0.769124419,0.432483729,0.13282001,0.134407362,0.298759921,0.327628395,0.031053274,0.059209645,0.058244623,0.104772669,0.466850241,0.04758339,0.079639399
11-11-2015,0.140384542,0.715152707,0.766874909,0.704355786,0.700250164,0.532223757,0.538661009,0.85380117,0.887506578,0.833003601,0.450978948,0.358140767,0.766589833,0.404982447,0.139396911,0.118066764,0.295941488,0.324205412,0.024758697,0.057731093,0.062694711,0.111111147,0.461688541,0.048331915,0.084804679
12-11-2015,0.123812622,0.705239759,0.734517079,0.692749109,0.700250164,0.525643536,0.537953748,0.821219716,0.86677034,0.812425801,0.417599894,0.336915619,0.752073681,0.375467432,0.113891552,0.102186396,0.276211894,0.337897294,0.016738923,0.056857398,0.060185996,0.107377861,0.438976784,0.046567576,0.080155895
13-11-2015,0.110722969,0.696135956,0.735878219,0.683359425,0.677734857,0.515192578,0.519094719,0.816207185,0.851736695,0.792639493,0.400404569,0.328855436,0.738248842,0.384903063,0.107635536,0.102186396,0.269447576,0.329584434,0.010164596,0.049285365,0.052561495,0.094638284,0.424179892,0.044001279,0.061044326
16-11-2015,0.127934174,0.683592986,0.738662337,0.694966089,0.653627465,0.512870167,0.515558722,0.833751044,0.853810257,0.796201029,0.413192698,0.332079482,0.754377875,0.372878415,0.129130629,0.117606464,0.2632469,0.336919299,0.02140158,0.053407423,0.05435203,0.105345651,0.446662193,0.048973478,0.061466959
17-11-2015,0.126364324,0.672870692,0.744540033,0.703964563,0.649988621,0.520611564,0.520037694,0.823725982,0.8449974,0.789077958,0.401705111,0.319720562,0.747234994,0.355618189,0.133622111,0.117836568,0.246899605,0.336919299,0.024059289,0.052309712,0.052873038,0.102068957,0.44792395,0.044696323,0.066585272
18-11-2015,0.145282517,0.661743867,0.766627467,0.711137164,0.649533765,0.523708139,0.528995757,0.842105263,0.853291853,0.817570202,0.424030065,0.337452964,0.763594419,0.36873595,0.152390126,0.12980437,0.271702424,0.342787416,0.037394492,0.060374581,0.059510449,0.115229336,0.470864992,0.049401183,0.078981966
19-11-2015,0.143946668,0.672870692,0.775598556,0.726004235,0.666818232,0.544803552,0.54219703,0.852130326,0.855883922,0.829837792,0.419478335,0.335303529,0.77050693,0.43432482,0.149502734,0.130955095,0.214205242,0.344254311,0.006527691,0.063712544,0.05876605,0.113805844,0.481417848,0.049882369,0.071891456
20-11-2015,0.148473505,0.67084767,0.812596706,0.760302592,0.672503927,0.563189483,0.552805257,0.801169591,0.818558829,0.807281322,0.408207488,0.32831809,0.767050686,0.474598681,0.149342404,0.126812379,0.20800451,0.342787416,0.017438326,0.06487748,0.061120624,0.130090682,0.501605907,0.051218982,0.076868907
23-11-2015,0.147000795,0.672870692,0.828125971,0.741392876,0.672049162,0.544610036,0.556341348,0.78780284,0.772939387,0.790265176,0.391734697,0.321063899,0.761981515,0.453943967,0.153994217,0.124741033,0.160090192,0.332518321,0.013661588,0.061405093,0.064577057,0.129535623,0.501147167,0.051218982,0.075131478
24-11-2015,0.148456362,0.65122394,0.764709525,0.730829417,0.637934993,0.545190624,0.52710983,0.791144528,0.770347422,0.785120696,0.387977714,0.319720562,0.754608266,0.454174063,0.142284303,0.11254315,0.196166798,0.318337539,0.018464115,0.06393656,0.062006054,0.122642141,0.502753028,0.051539774,0.069449664
