Date,S&P500,AAL,ALGT,ALk,DAL,HA,LUV,BCS,CS,DB,GS,MS,WFC,BHC,JNJ,MRK,PFE,RHHBY,UNH,AAPL,AMZN,GOOG,IBM,MSFT,FB
09-11-2010,0.046006439,0.128327517,0.04991279,0.019916498,0.128050937,0.061748055,0.111638953,0.841475159,0.901470402,0.862741378,0.424655335,0.299892589,0.129032215,0.068658721,0.067961148,0.084203758,0.023053825,0.038532728,0.010457287,0.010763571,0.005102979,0.050069516,0.424440217,0.015581428,0
10-11-2010,0.048146153,0.124472184,0.045911569,0.021439856,0.122391227,0.058209484,0.107567015,0.840902842,0.89289195,0.851386687,0.428263683,0.304833491,0.139400902,0.06739892,0.064282078,0.08275751,0.017708018,0.044253778,0.011078512,0.011324175,0.006008727,0.049421696,0.42782784,0.015533337,0
11-11-2010,0.04606286,0.125206533,0.044013533,0.020367863,0.122391227,0.057678699,0.107567015,0.819155836,0.879411516,0.831181957,0.430902663,0.299677744,0.13041475,0.066060398,0.063975455,0.086774865,0.022719712,0.037859667,0.012148403,0.010927438,0.005132576,0.047521629,0.418573853,0.014282971,0
12-11-2010,0.040288352,0.121718375,0.043090172,0.020875649,0.1209763,0.057147913,0.105361383,0.799697914,0.871813471,0.826339493,0.420777691,0.283780881,0.115437791,0.065115546,0.061420524,0.078740155,0.018376244,0.031297325,0.009387392,0.008449289,0.003744352,0.04288,0.404610473,0.012311249,0
15-11-2010,0.03970004,0.123187073,0.038627266,0.021355225,0.116377786,0.056970985,0.104513062,0.792830354,0.866421298,0.825838566,0.428263683,0.29301826,0.11797233,0.065154914,0.066223805,0.076008386,0.015035115,0.033316507,0.005245901,0.008164676,0.001737497,0.040268653,0.403784182,0.011974618,0
16-11-2010,0.031878491,0.122819899,0.035498093,0.021693749,0.115493456,0.051663129,0.100950117,0.761354325,0.841421268,0.8118121,0.416846217,0.285069796,0.107373274,0.063383338,0.056004081,0.068937793,0.010023421,0.024566717,0.003658316,0.006597863,0.001405983,0.036344973,0.392216852,0.010099067,0
17-11-2010,0.031979232,0.123003486,0.0426798,0.018111036,0.116554652,0.056263271,0.101119781,0.755631337,0.838234965,0.815318712,0.415715202,0.273469388,0.099769588,0.064091972,0.055186523,0.074883526,0.006014066,0.037186606,0.00476273,0.006284497,0.001574703,0.036288203,0.389820686,0.008944893,0
18-11-2010,0.039272874,0.128878279,0.047809584,0.021609118,0.126459144,0.059094127,0.105361383,0.777378467,0.847548715,0.837527238,0.428963839,0.283780881,0.114746523,0.06440692,0.063055721,0.08806045,0.017708018,0.040383678,0.005798102,0.008564286,0.003297399,0.04063264,0.409733137,0.010243344,0
19-11-2010,0.040497901,0.129979803,0.048579036,0.024119838,0.126282278,0.059094127,0.105531047,0.772227797,0.847548715,0.830847977,0.425301581,0.284855016,0.114285694,0.063304597,0.063055721,0.088703243,0.016705646,0.042571058,0.007075061,0.008075558,0.003489799,0.038719234,0.415434219,0.009521987,0
22-11-2010,0.039736293,0.131815676,0.053914016,0.025304672,0.126282278,0.056617128,0.106718695,0.751053047,0.825244747,0.811144209,0.395034483,0.272824898,0.10184332,0.064918707,0.060909548,0.09288126,0.011025726,0.033653037,0.008662633,0.009981601,0.005138497,0.038849449,0.418243407,0.009714346,0
